Excipient,Tablet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,80.68,19.32,0.47,0.53,0.55,0.63,0.46,0.29,0.14
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,87.80,12.20,0.11,0.43,0.49,0.65,0.57,0.28,0.16
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,80.25,19.75,0.36,0.55,0.53,0.60,0.56,0.29,0.11
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,83.53,16.47,0.32,0.48,0.55,0.63,0.47,0.27,0.16
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,62.98,37.02,0.72,0.86,0.75,0.59,0.58,0.15,0.07
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,61.83,38.17,0.89,0.98,0.85,0.53,0.41,0.17,0.10
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,65.78,34.22,1.19,0.86,0.66,0.46,0.41,0.25,0.10
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,56.80,43.20,1.64,1.13,0.62,0.44,0.29,0.14,0.13
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,34.99,65.01,3.21,1.34,0.58,0.42,0.10,0.07,0.04
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,33.84,66.16,2.10,1.57,0.88,0.32,0.21,0.06,-0.01
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,36.35,63.65,1.80,1.48,0.90,0.47,0.27,0.06,-0.02
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,27.15,72.85,2.41,1.75,0.90,0.23,0.20,0.03,-0.04
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,40.03,59.97,2.85,1.32,0.60,0.37,0.22,0.10,0.04
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,42.16,57.84,2.21,1.22,0.77,0.37,0.32,0.08,0.03
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,24.39,75.61,3.59,2.07,0.55,0.08,0.05,0.05,0.02
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,16.54,83.46,5.34,1.58,0.37,0.04,0.14,-0.03,0.02
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,19.21,80.79,4.60,1.73,0.33,0.13,0.12,-0.01,0.02
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,19.04,80.96,4.00,1.96,0.54,0.08,0.03,0.01,0.00
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,27.31,72.69,3.30,1.76,0.52,0.14,0.13,0.09,-0.01
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,22.44,77.56,4.03,1.69,0.50,0.23,0.04,0.02,0.01
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,86.41,13.59,0.33,0.57,0.60,0.58,0.46,0.23,0.17
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,93.77,6.23,0.42,0.42,0.41,0.46,0.44,0.40,0.13
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,88.89,11.11,0.53,0.45,0.56,0.53,0.45,0.24,0.19
PH-101,MUPS,20,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,87.97,12.03,0.42,0.37,0.54,0.55,0.56,0.27,0.12
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,67.26,32.74,0.72,0.86,0.75,0.59,0.58,0.15,0.07
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,66.03,33.97,0.89,0.98,0.85,0.53,0.41,0.17,0.10
