Excipient,Tablet,Pellet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-101,SPIM,EC,20,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,98.39,1.61,0.05,0.21,0.43,0.71,0.48,0.44,0.19
PH-101,SPIM,EC,20,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,88.33,11.67,-0.01,0.3,0.56,0.73,0.56,0.28,0.15
PH-101,SPIM,EC,20,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,93.57,6.43,0.17,0.24,0.54,0.73,0.52,0.37,0.2
PH-101,SPIM,EC,20,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,94.32,5.68,0.08,0.25,0.45,0.59,0.63,0.3,0.19
PH-101,SPIM,EC,40,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,94.82,5.18,0.12,0.26,0.49,0.58,0.65,0.33,0.2
PH-101,SPIM,EC,40,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,98.17,1.83,-0.05,0.31,0.44,0.59,0.52,0.43,0.19
PH-101,SPIM,EC,40,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,92.42,7.58,0.22,0.24,0.61,0.63,0.49,0.35,0.2
PH-101,SPIM,EC,40,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,92.9,7.1,0.16,0.3,0.44,0.61,0.52,0.34,0.17
PH-101,SPIM,EC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,76.58,23.42,0.52,0.5,0.69,0.65,0.48,0.28,0.11
PH-101,SPIM,EC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,75.87,24.13,0.59,0.63,0.7,0.61,0.53,0.32,0.11
PH-101,SPIM,EC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,77.53,22.47,0.59,0.5,0.61,0.67,0.51,0.32,0.1
PH-101,SPIM,EC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,76.98,23.02,0.37,0.61,0.66,0.69,0.58,0.24,0.13
PH-101,SPIM,EC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,47.58,52.42,1.25,0.93,0.95,0.7,0.29,0.11,0
PH-101,SPIM,EC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,48.95,51.05,0.96,1.08,0.89,0.69,0.35,0.12,-0.01
PH-101,SPIM,EC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,48.86,51.14,1.47,1,0.91,0.57,0.31,0.12,0.02
